alias	canonical
Dental materials : official publication of the Academy of Dental Materials	Dental Materials
Physical review. B, Condensed matter	Physical Review B
Physical review. B, Condensed matter and materials physics	Physical Review B
Physical review. E, Statistical, nonlinear, and soft matter physics	Physical Review E
Physical review. E, Statistical physics, plasmas, fluids, and related interdisciplinary topics	Physical Review E
Physical review. A, Atomic, molecular, and optical physics	Physical Review A
Physical review. C, Nuclear physics	Physical Review C
Physical review. D, Particles and fields	Physical Review D
The Review of scientific instruments	Review of Scientific Instruments
Materials Science and Engineering A-structural Materials Properties Microstructure and Processing	Materials Science and Engineering: A
Materials Science and Engineering B-advanced Functional Solid-state Materials	Materials Science and Engineering: B
Materials science & engineering. C, Materials for biological applications	Materials Science and Engineering: C
Journal of Materials Chemistry. B, Materials for Biology and Medicine	Journal of Materials Chemistry B
Textile &amp; Leather Review	Textile & Leather Review
Journal of Materials Science &amp; Technology	Journal of Materials Science & Technology
Annals of Reviews &amp; Research	Annals of Reviews & Research
Biomedical Materials &amp; Devices	Biomedical Materials & Devices
SOJ Materials Science &amp; Engineering	SOJ Materials Science & Engineering
Annals of Materials Science &amp; Engineering	Annals of Materials Science & Engineering
Journal of Dental Science Research Reviews &amp; Reports	Journal of Dental Science Research Reviews & Reports
Special Topics &amp; Reviews in Porous Media: An International Journal	Special Topics & Reviews in Porous Media - An International Journal
International Journal of Multidisciplinary Research &amp; Reviews	International Journal of Multidisciplinary Research & Reviews
International Journal of Accounting &amp; Finance Review	International Journal of Accounting & Finance Review
Journal of Cancer Research Reviews &amp; Reports	Journal of Cancer Research Reviews & Reports
Journal of Dermatology Research Reviews &amp; Reports	Journal of Dermatology Research Reviews & Reports
MOJ Current Research &amp; Reviews	MOJ Current Research & Reviews
SVOA Materials Science &amp; Technology	SVOA Materials Science & Technology
International Review of Civil Engineering (IRECE)	International Review of Civil Engineering
International Review on Modelling and Simulations (IREMOS)	International Review on Modelling and Simulations
International Review of Aerospace Engineering (IREASE)	International Review of Aerospace Engineering
Scientific Review Engineering and Environmental Sciences (SREES)	Scientific Review Engineering and Environmental Sciences
European Cells and Materials (ECM)	European Cells & Materials
The African Archaeological Review	African Archaeological Review
Biomedical Materials & Devices (New York, N.y.)	Biomedical Materials & Devices
Annual review of analytical chemistry (Palo Alto, Calif.)	Annual Review of Analytical Chemistry
Cancer Metastasis Reviews	Cancer and Metastasis Reviews
Advances in Materials Sciences	Advances in Materials Science
