term	material_system
yttria	zirconia
monolithic_zirconia	zirconia
transmittance	zirconia
translucency	zirconia
contrast	zirconia
ratio	zirconia
fracture_toughness	zirconia
partially	zirconia
stabilized	zirconia
fully	zirconia
cubic	zirconia
tetragonal	zirconia
strength	zirconia
monoclinic	zirconia
transformation	zirconia
short	short_fiber_composite
glass	short_fiber_composite
composite	short_fiber_composite
reinforcement	short_fiber_composite
deflection	short_fiber_composite
crack_bridging	short_fiber_composite
fracture_toughness	short_fiber_composite
toughening_mechanism	short_fiber_composite
energy	short_fiber_composite
absorption	short_fiber_composite
fracture	short_fiber_composite
resistance	short_fiber_composite
particulate	short_fiber_composite
core	short_fiber_composite
build	short_fiber_composite
resin	short_fiber_composite
brittle_fracture	short_fiber_composite
crack_propagation	short_fiber_composite
everx	short_fiber_composite
photonic_crystal	structural_color_composite
light_scattering	structural_color_composite
optical	structural_color_composite
interference	structural_color_composite
opal	structural_color_composite
diffraction	structural_color_composite
nanostructure	structural_color_composite
shade_matching	structural_color_composite
adaptation	structural_color_composite
color_matching	structural_color_composite
chameleon	structural_color_composite
shade	structural_color_composite
translucency	structural_color_composite
opacity	structural_color_composite
refractive_index	structural_color_composite
composite	structural_color_composite
structural	structural_color_composite
color	structural_color_composite
core_shell	structural_color_composite
filler	structural_color_composite
pigment	structural_color_composite
conventional	structural_color_composite
