term	material_system	role
yttria	zirconia	canonical_target
monolithic_zirconia	zirconia	canonical_target
transmittance	zirconia	canonical_target
translucency	zirconia	canonical_target
contrast	zirconia	canonical_target
ratio	zirconia	canonical_target
fracture_toughness	zirconia	canonical_target
partially	zirconia	canonical_target
stabilized	zirconia	canonical_target
fully	zirconia	canonical_target
cubic	zirconia	canonical_target
tetragonal	zirconia	canonical_target
strength	zirconia	canonical_target
monoclinic	zirconia	canonical_target
transformation	zirconia	canonical_target
3y_tzp	zirconia	visualization_only
4y_tzp	zirconia	visualization_only
5y_psz	zirconia	visualization_only
translucent_zirconia	zirconia	visualization_only
highly_translucent	zirconia	visualization_only
everx	short_fiber_composite	canonical_target
everx_flow	short_fiber_composite	visualization_only
everx_posterior	short_fiber_composite	visualization_only
fiber_reinforced	short_fiber_composite	visualization_only
reinforcement	short_fiber_composite	canonical_target
crack_bridging	short_fiber_composite	canonical_target
crack_deflection	short_fiber_composite	visualization_only
toughening_mechanism	short_fiber_composite	canonical_target
fracture_toughness	short_fiber_composite	canonical_target
crack_propagation	short_fiber_composite	canonical_target
brittle_fracture	short_fiber_composite	canonical_target
flowable	short_fiber_composite	visualization_only
flowable_composite	short_fiber_composite	visualization_only
composite	short_fiber_composite	canonical_target
resin	short_fiber_composite	canonical_target
glass	short_fiber_composite	canonical_target
short	short_fiber_composite	canonical_target
fiber	short_fiber_composite	visualization_only
deflection	short_fiber_composite	canonical_target
energy	short_fiber_composite	canonical_target
absorption	short_fiber_composite	canonical_target
fracture	short_fiber_composite	canonical_target
resistance	short_fiber_composite	canonical_target
particulate	short_fiber_composite	canonical_target
core	short_fiber_composite	canonical_target
build	short_fiber_composite	canonical_target
omnichroma	structural_color_composite	visualization_only
structural_color	structural_color_composite	visualization_only
color_matching	structural_color_composite	canonical_target
shade_matching	structural_color_composite	canonical_target
shade	structural_color_composite	canonical_target
color	structural_color_composite	canonical_target
translucency	structural_color_composite	canonical_target
opacity	structural_color_composite	canonical_target
masking_ability	structural_color_composite	visualization_only
chameleon	structural_color_composite	canonical_target
pigment	structural_color_composite	canonical_target
filler	structural_color_composite	canonical_target
core_shell	structural_color_composite	canonical_target
refractive_index	structural_color_composite	canonical_target
light_scattering	structural_color_composite	canonical_target
photonic_crystal	structural_color_composite	canonical_target
optical	structural_color_composite	canonical_target
interference	structural_color_composite	canonical_target
opal	structural_color_composite	canonical_target
diffraction	structural_color_composite	canonical_target
nanostructure	structural_color_composite	canonical_target
adaptation	structural_color_composite	canonical_target
composite	structural_color_composite	canonical_target
structural	structural_color_composite	canonical_target
conventional	structural_color_composite	canonical_target
