period	rank	token	count
pre2018	1	test	93
pre2018	2	dental	76
pre2018	3	magnet	75
pre2018	4	ocp	74
pre2018	5	alloy	71
pre2018	6	fig	69
pre2018	7	j	64
pre2018	8	h.	64
pre2018	9	t.	59
pre2018	10	nd2fe14b	58
pre2018	11	smco5_magnet	56
pre2018	12	solution	55
pre2018	13	property	53
pre2018	14	fatigue	52
pre2018	15	use	51
pre2018	16	tensile	50
pre2018	17	ni	47
pre2018	18	show	47
pre2018	19	material	47
pre2018	20	load	46
pre2018	21	phosphate	46
pre2018	22	titanium	46
pre2018	23	transformation	42
pre2018	24	cementation	41
pre2018	25	force	40
pre2018	26	change	40
pre2018	27	day	39
pre2018	28	ti	39
pre2018	29	casting	38
pre2018	30	nacl	37
pre2018	31	result	37
pre2018	32	immersion	37
pre2018	33	stress	36
pre2018	34	japan	35
pre2018	35	corrosion	35
pre2018	36	lactic	34
pre2018	37	week	33
pre2018	38	release	33
pre2018	39	mouse	32
pre2018	40	temperature	32
pre2018	41	cement	31
pre2018	42	study	31
pre2018	43	time	31
pre2018	44	decrease	31
pre2018	45	corrosive	31
pre2018	46	leakage	29
pre2018	47	method	29
pre2018	48	apply	29
pre2018	49	amount	29
pre2018	50	specimen	29
pre2018	51	strength	29
pre2018	52	acid	28
pre2018	53	marginal	28
pre2018	54	mm	27
pre2018	55	japanese	27
pre2018	56	without	27
pre2018	57	weight	27
pre2018	58	cyclic	27
pre2018	59	tokyo	26
pre2018	60	magnetic	26
pre2018	61	attractive	26
pre2018	62	low	25
pre2018	63	strain	25
pre2018	64	k.	25
pre2018	65	soak	24
pre2018	66	surface	24
pre2018	67	small	24
pre2018	68	restoration	24
pre2018	69	sbf	23
pre2018	70	fracture	23
pre2018	71	shape	23
pre2018	72	new	23
pre2018	73	calcium	23
pre2018	74	screw	22
pre2018	75	effect	22
pre2018	76	phase	22
pre2018	77	artificial	22
pre2018	78	table	22
pre2018	79	saliva	21
pre2018	80	also	21
pre2018	81	m.	21
pre2018	82	ion	21
pre2018	83	measurement	21
pre2018	84	hcl	21
pre2018	85	crack	21
pre2018	86	s.	21
pre2018	87	implantation	21
pre2018	88	thermocycle	21
pre2018	89	seal	21
pre2018	90	haver	21
pre2018	91	dent	20
pre2018	92	carbonate	20
pre2018	93	speciman	20
pre2018	94	piece	20
pre2018	95	hamanaka	20
pre2018	96	large	20
pre2018	97	element	20
pre2018	98	stainless	19
pre2018	99	steel	19
pre2018	100	composition	19
pre2018	101	mechanical	19
pre2018	102	content	19
pre2018	103	prepare	19
pre2018	104	observe	19
pre2018	105	analysis	19
pre2018	106	increase	19
pre2018	107	purity	18
pre2018	108	nf	18
pre2018	109	testing	18
pre2018	110	nc	17
pre2018	111	however	17
pre2018	112	rare	17
pre2018	113	apatite	17
pre2018	114	number	17
pre2018	115	octacalcium	17
pre2018	116	earth	17
pre2018	117	zinc	16
pre2018	118	femur	16
pre2018	119	curve	16
pre2018	120	p	16
pre2018	121	memory	16
pre2018	122	super	15
pre2018	123	's	15
pre2018	124	initial	15
pre2018	125	i.	15
pre2018	126	application	15
pre2018	127	y.	15
