combined_count,phrase,post_preprocessed_count,pre_preprocessed_count,rank
16,matching_color,8,8,1
16,fracture_toughness,8,8,2
16,shade_matching,8,8,3
16,color_matching,8,8,4
12,zirconia_fracture,4,8,5
12,strength_surface,4,8,6
12,ceramic_testing,4,8,7
12,clinical_restoration,4,8,8
12,filler_matrix,4,8,9
12,wear_hardness,4,8,10
12,resin_composite,4,8,11
12,optical_strength,4,8,12
12,testing_clinical,4,8,13
12,matrix_wear,4,8,14
12,hardness_modulus,4,8,15
8,synthetic_dental,4,4,16
8,material_study,4,4,17
8,dental_material,4,4,18
8,toughness_crack,4,4,19
8,bridge_shade,4,4,20
8,matching_resin,4,4,21
8,composite_optical,4,4,22
8,structure_property,4,4,23
8,result_dental,4,4,24
8,material_zirconia,4,4,25
8,crack_bridge,4,4,26
8,surface_ceramic,4,4,27
8,restoration_structure,4,4,28
8,property_filler,4,4,29
8,pdf_fixture,4,4,30
8,file_contain,4,4,31
8,copyright_article,4,4,32
8,text_design,4,4,33
8,demonstrate_pdf,4,4,34
8,extraction_scientific,4,4,35
8,text_normalization,4,4,36
8,synthetic_experiment,4,4,37
8,fixture_file,4,4,38
8,contain_copyright,4,4,39
8,article_text,4,4,40
8,design_demonstrate,4,4,41
8,pdf_extraction,4,4,42
8,scientific_text,4,4,43
8,normalization_synthetic,4,4,44
8,experiment_study,4,4,45
4,modulus_framework,0,4,46
4,opaque_tetragonal,0,4,47
4,conventional_processing,0,4,48
4,framework_opaque,0,4,49
4,tetragonal_conventional,0,4,50
4,synthetic_pre-2018,0,4,51
4,study_3y,0,4,52
4,tzp_zirconia,0,4,53
4,surface_roughness,0,4,54
4,modulus_synthetic,0,4,55
4,pre-2018_pdf,0,4,56
4,3y_tzp,0,4,57
4,toughness_resin,0,4,58
4,composite_shade,0,4,59
4,matching_optical,0,4,60
4,roughness_ceramic,0,4,61
4,restoration_filler,0,4,62
4,modulus_monolithic,4,0,63
4,translucent_digital,4,0,64
4,cubic_yttria,4,0,65
4,monolithic_translucent,4,0,66
4,digital_cubic,4,0,67
4,yttria_processing,4,0,68
4,synthetic_post-2018,4,0,69
4,study_4y,4,0,70
4,psz_5y,4,0,71
4,psz_4y,4,0,72
4,tzp_5y,4,0,73
4,tzp_monolithic,4,0,74
4,zirconia_yttria,4,0,75
4,translucency_fracture,4,0,76
4,toughness_shade,4,0,77
4,matching_digital,4,0,78
4,processing_synthetic,4,0,79
4,post-2018_pdf,4,0,80
4,4y_psz,4,0,81
4,5y_psz,4,0,82
4,4y_tzp,4,0,83
4,5y_tzp,4,0,84
4,monolithic_zirconia,4,0,85
4,yttria_translucency,4,0,86
4,digital_processing,4,0,87
