token,count
fracture_toughness,8
shade_matching,8
matching_color,8
color_matching,8
result_dental,4
material_zirconia,4
crack_bridge,4
resin_composite,4
optical_strength,4
composite_optical,4
testing_clinical,4
restoration_structure,4
property_filler,4
matrix_wear,4
hardness_modulus,4
monolithic_translucent,4
digital_cubic,4
surface_ceramic,4
material_study,4
dental_material,4
zirconia_fracture,4
toughness_crack,4
bridge_shade,4
matching_resin,4
5y_psz,4
processing,4
ceramic_testing,4
clinical_restoration,4
structure_property,4
filler_matrix,4
wear_hardness,4
modulus_monolithic,4
translucent_digital,4
cubic_yttria,4
strength_surface,4
processing_synthetic,4
post-2018_pdf,4
4y_psz,4
contain_copyright,4
article_text,4
design_demonstrate,4
pdf_extraction,4
scientific_text,4
yttria_processing,4
experiment_study,4
4y_tzp,4
5y_tzp,4
monolithic_zirconia,4
yttria_translucency,4
digital_processing,4
synthetic_dental,4
fixture_file,4
normalization_synthetic,4
synthetic_post-2018,4
pdf_fixture,4
file_contain,4
copyright_article,4
text_design,4
demonstrate_pdf,4
extraction_scientific,4
text_normalization,4
matching_digital,4
study_4y,4
psz_5y,4
psz_4y,4
tzp_5y,4
tzp_monolithic,4
zirconia_yttria,4
translucency_fracture,4
toughness_shade,4
synthetic_experiment,4
