token,count
wear_hardness,8
ceramic_testing,8
filler_matrix,8
strength_surface,8
matching_color,8
zirconia_fracture,8
clinical_restoration,8
color_matching,8
shade_matching,8
fracture_toughness,8
resin_composite,8
testing_clinical,8
optical_strength,8
matrix_wear,8
hardness_modulus,8
modulus_synthetic,4
restoration_filler,4
roughness_ceramic,4
matching_optical,4
composite_shade,4
toughness_resin,4
3y_tzp,4
experiment_study,4
normalization_synthetic,4
scientific_text,4
pdf_extraction,4
design_demonstrate,4
article_text,4
contain_copyright,4
fixture_file,4
pre-2018_pdf,4
framework_opaque,4
tetragonal_conventional,4
processing,4
synthetic_pre-2018,4
pdf_fixture,4
file_contain,4
copyright_article,4
text_design,4
demonstrate_pdf,4
extraction_scientific,4
text_normalization,4
synthetic_experiment,4
study_3y,4
tzp_zirconia,4
surface_roughness,4
surface_ceramic,4
opaque_tetragonal,4
conventional_processing,4
result_dental,4
material_zirconia,4
crack_bridge,4
property_filler,4
restoration_structure,4
modulus_framework,4
composite_optical,4
structure_property,4
bridge_shade,4
matching_resin,4
toughness_crack,4
dental_material,4
material_study,4
synthetic_dental,4
