term,status,in_pre,in_post,cosine_displacement,pre_count,post_count,min_count,max_count
absorption,compared,True,True,0.1074919523479037,101327,114640,101327,114640
adaptation,compared,True,True,0.2432449335502955,6224,8887,6224,8887
brittle_fracture,compared,True,True,0.1952403013692842,2135,2024,2024,2135
build,compared,True,True,0.1512706435973368,25165,38380,25165,38380
color,compared,True,True,0.106941776186213,62945,69834,62945,69834
composite,compared,True,True,0.0856079970533322,285634,297866,285634,297866
contrast,compared,True,True,0.0838526554255999,110562,121268,110562,121268
conventional,compared,True,True,0.1044083315042706,65199,78540,65199,78540
core,compared,True,True,0.2007333734604784,89181,69822,69822,89181
core_shell,compared,True,True,0.1227360241761422,12192,17765,12192,17765
crack_propagation,compared,True,True,0.0994985375734774,6902,8932,6902,8932
cubic,compared,True,True,0.1741505314646888,36768,29351,29351,36768
deflection,compared,True,True,0.1597194238973655,10231,8328,8328,10231
diffraction,compared,True,True,0.1065022434376049,56431,45263,45263,56431
energy,compared,True,True,0.1661491301067694,610917,502509,502509,610917
filler,compared,True,True,0.1300898325703954,45145,40892,40892,45145
fracture,compared,True,True,0.0892216521209622,100148,97474,97474,100148
fracture_toughness,compared,True,True,0.1035338300969549,14578,14954,14578,14954
fully,compared,True,True,0.1449499707594111,42038,51172,42038,51172
glass,compared,True,True,0.0760760006672784,149848,109869,109869,149848
interference,compared,True,True,0.1276444707583252,12554,10483,10483,12554
light_scattering,compared,True,True,0.1108069941157772,6017,6272,6017,6272
monoclinic,compared,True,True,0.1224804232035248,12248,7652,7652,12248
nanostructure,compared,True,True,0.1301163378306027,31992,42401,31992,42401
opacity,compared,True,True,0.1830560001075374,1768,2030,1768,2030
optical,compared,True,True,0.1059738355556785,131560,142374,131560,142374
partially,compared,True,True,0.134409191133656,25010,23638,23638,25010
particulate,compared,True,True,0.2701495239333774,7820,5111,5111,7820
photonic_crystal,compared,True,True,0.2128745872672472,3294,2104,2104,3294
pigment,compared,True,True,0.1833925305688972,3872,5082,3872,5082
ratio,compared,True,True,0.1161069936911739,193368,190935,190935,193368
refractive_index,compared,True,True,0.1232834304076735,12143,11247,11247,12143
reinforcement,compared,True,True,0.1564916406582495,11400,18064,11400,18064
resin,compared,True,True,0.0841361271222264,176923,125270,125270,176923
resistance,compared,True,True,0.0976170530747904,90978,132556,90978,132556
shade,compared,True,True,0.1479236024443017,14183,10583,10583,14183
short,compared,True,True,0.099538406383731,86402,80622,80622,86402
strength,compared,True,True,0.0877480015623271,177099,193320,177099,193320
structural,compared,True,True,0.1157380458980961,115439,130066,115439,130066
tetragonal,compared,True,True,0.1871583822584395,17410,9220,9220,17410
transformation,compared,True,True,0.1366664245547229,54384,49547,49547,54384
translucency,compared,True,True,0.1284107275204112,4580,9075,4580,9075
transmittance,compared,True,True,0.1274905501770387,7617,9008,7617,9008
