term,material_system,status,in_pre,in_post,pre_count,post_count,mode,pre_neighbors,post_neighbors
absorption,short_fiber_composite,compared,True,True,101327,114640,common_vocab,absorb (0.668); spectrum (0.612); solubility (0.606); transmittance (0.604); spectra (0.596); absorbed (0.587); addition (0.582); uv_vis (0.574); absorbtion (0.563); wavelength (0.561); absorbance (0.560); absorp_tion (0.556); uv_visible (0.555); infrared (0.552); emission (0.552); property (0.550); optical (0.547); nir (0.541); characteristic (0.541); water (0.541),absorb (0.698); absorbing (0.627); spectra (0.625); spectrum (0.619); uv_vis (0.615); transmittance (0.604); uv_visible (0.597); infrared (0.585); reflectivity (0.582); transmission (0.579); absorbed (0.579); reflectance (0.571); absorbance (0.565); absorp_tion (0.563); coefficient_α(ω (0.561); ultraviolet_visible (0.560); wavelength (0.558); visible (0.556); characteristic (0.548); optical (0.545)
adaptation,structural_color_composite,compared,True,True,6224,8887,common_vocab,marginal_adaptation (0.723); marginal_integrity (0.675); cavity (0.661); internal_adaptation (0.647); gap (0.639); restoration (0.633); marginal_internal (0.631); marginal (0.628); system (0.627); adaptability (0.626); marginal_sealing (0.620); wall (0.620); resin (0.616); marginal_seal (0.613); microleakage (0.609); technique (0.603); marginal_leakage (0.603); inlay (0.601); composite (0.599); placement (0.593),adaption (0.676); reproduction (0.619); marginal_adaptation (0.577); restoration (0.557); adaptability (0.555); jayasooriya_pr (0.548); marginal_internal (0.545); marginal (0.535); intaglio (0.532); technique (0.523); license_http://crea (0.522); material (0.521); adjustment (0.516); indirect_restoration (0.514); tivecommons.org/licenses/by/4.0/_permit (0.512); marginal_integrity (0.511); marginal_discrepancy (0.508); marginal_sealing (0.507); internal_adaptation (0.506); placement (0.506)
brittle_fracture,short_fiber_composite,compared,True,True,2135,2024,common_vocab,brittle (0.810); ductile (0.798); crack_propagation (0.748); brittle_ductile (0.717); crack_tip (0.701); fracture (0.687); crack_propagate (0.685); fracture_mechanic (0.675); toughness (0.674); plastic_deformation (0.673); catastrophic_fracture (0.668); crack_initiation (0.661); intergranular_fracture (0.660); fractography (0.658); catastrophic_failure (0.657); crack (0.646); ahead_crack (0.637); yielding (0.636); quasibrittle (0.635); lefm (0.631),brittle (0.821); ductile (0.798); crack_propagation (0.778); intergranular_fracture (0.737); plastic_deformation (0.730); crack_initiation (0.724); ductile_brittle (0.717); transgranular_fracture (0.716); crack_propagate (0.709); microvoid_coalescence (0.703); crack (0.684); brittle_ductile (0.682); transgranular (0.679); fracture (0.666); transgranular_intergranular (0.664); microcrack (0.659); brittleness (0.654); crack_deflection (0.654); cleavage_facet (0.651); ductile_dimple (0.651)
build,short_fiber_composite,compared,True,True,25165,38380,common_vocab,construction (0.668); core (0.657); create (0.651); apply (0.639); comprise (0.638); design (0.631); develop (0.627); introduce (0.614); manufacture (0.608); make (0.606); generate (0.604); construct (0.597); consist (0.596); fabricate (0.594); utilize (0.591); mention (0.589); compose (0.588); manner (0.588); employ (0.584); assembly (0.584),design (0.675); manufacture (0.659); building (0.652); construction (0.651); fabricate (0.641); construct (0.637); create (0.635); 3d_print (0.590); direction (0.573); customize (0.570); manufactured (0.560); additive_manufacture (0.557); make (0.550); apply (0.548); connect (0.547); system (0.546); generate (0.544); core (0.544); dimension (0.543); develop (0.542)
chameleon,structural_color_composite,compared,True,True,117,176,common_vocab,hidex (0.512); brilliant (0.477); lifelike (0.476); sapphire_laser (0.461); artis (0.461); translucence (0.458); metameric (0.452); looking (0.450); excitation_wavelength (0.447); photostabilitie (0.443); emission_wavelength (0.442); lighting (0.441); perception (0.439); aesthetic_appearance (0.439); ceramx (0.437); opalescence (0.436); iridescence (0.433); metamerism (0.431); morpho_butterfly (0.431); colour (0.426),color_matching (0.528); chromatic (0.514); color (0.513); cephalopod (0.492); multicolore (0.487); reflective (0.478); colour (0.474); multicolor (0.473); chroma (0.470); iridescent (0.465); beautiful (0.463); creature (0.461); multimode (0.460); flying (0.460); iridescence (0.458); beetle (0.455); palette (0.453); hiding (0.453); translucent (0.449); reflectance (0.448)
color,structural_color_composite,compared,True,True,62945,69834,common_vocab,colour (0.769); shade (0.744); translucency (0.725); discoloration (0.690); cie_l*a*b (0.684); lightness (0.679); color_matching (0.670); opacity (0.667); cielab_color (0.665); colorimeter (0.660); l*a*b (0.657); cielab (0.648); perceptible_color (0.647); esthetic_restorative (0.640); l*a*b_color (0.639); change (0.639); hue_chroma (0.634); translucent (0.630); cie (0.622); chromatic (0.620),shade (0.764); colour (0.738); translucency (0.716); cielab (0.672); cielab_color (0.670); perceptible_color (0.670); color_matching (0.669); discoloration (0.665); l*a*b (0.661); lightness (0.655); cie_lab (0.647); composite (0.643); hue (0.639); perceptibility_acceptability (0.636); cie_l*a*b (0.636); chromatic (0.635); cielab_coordinate (0.629); esthetic (0.628); shade_matching (0.627); colored (0.621)
color_matching,structural_color_composite,compared,True,True,555,563,common_vocab,shade_matching (0.798); shade_selection (0.784); shade_guide (0.717); colour_matching (0.710); shade_tab (0.678); color (0.670); illuminant (0.669); cielab (0.665); vitapan_classical (0.652); shade_taking (0.650); spectrophotometer_colorimeter (0.649); colorimeter (0.646); visual_instrumental (0.637); shade (0.634); translucency (0.632); metamerism (0.627); visual_perception (0.624); cielab_color (0.615); vita_shade (0.612); esthetic_restorative (0.610),shade_matching (0.776); shade_selection (0.744); shade (0.683); color (0.669); shade_guide (0.658); shade_tab (0.651); visual_instrumental (0.651); translucency (0.643); colour_matching (0.638); cielab (0.616); vita_shade (0.614); vitapan_classical (0.610); masking_ability (0.605); spectral_reflectance (0.590); metamerism (0.590); esthetic (0.589); vita_classical (0.588); cielab_color (0.587); vita_easyshade (0.587); spectrophotometer_colorimeter (0.587)
composite,short_fiber_composite;structural_color_composite,compared,True,True,285634,297866,common_vocab,resin (0.894); material (0.788); restorative (0.780); restoration (0.746); base (0.730); dent_mater (0.725); ceramic (0.724); study (0.721); system (0.713); hybrid (0.711); different (0.710); cure (0.708); filler (0.708); light_cure (0.705); flowable_resin (0.702); flowable_composite (0.700); adhesive (0.699); effect (0.698); property (0.691); type (0.690),resin (0.892); material (0.810); restorative (0.793); ceramic (0.773); restoration (0.755); cad_cam (0.749); base (0.741); dent_mater (0.740); filler (0.728); flowable_composite (0.717); property (0.709); bulk (0.708); adhesive (0.708); different (0.705); study (0.704); surface (0.703); effect (0.694); nanofilled (0.688); cure (0.687); flowable_resin (0.686)
contrast,zirconia,compared,True,True,110562,121268,common_vocab,whereas (0.846); moreover (0.809); furthermore (0.803); clearly (0.798); similarly (0.791); similar (0.789); although (0.789); appear (0.786); exhibit (0.783); slightly (0.782); relatively (0.779); observe (0.774); demonstrate (0.774); however (0.773); suggest (0.772); even (0.766); reveal (0.765); find (0.755); unlike (0.752); less (0.749),whereas (0.784); however (0.758); although (0.756); moreover (0.753); addition (0.752); observe (0.743); similar (0.738); exhibit (0.736); less (0.733); furthermore (0.731); reveal (0.729); compare (0.728); relatively (0.725); even (0.720); suggest (0.715); slightly (0.713); much (0.709); high (0.706); demonstrate (0.705); additionally (0.703)
conventional,structural_color_composite,compared,True,True,65199,78540,common_vocab,base (0.793); method (0.758); system (0.755); traditional (0.753); technique (0.750); compare (0.725); employ (0.722); use (0.721); however (0.717); low (0.715); material (0.714); type (0.713); high (0.703); different (0.701); produce (0.695); hand (0.691); combination (0.688); result (0.687); commercially_available (0.687); application (0.684),base (0.757); technique (0.730); traditional (0.722); system (0.709); method (0.708); different (0.699); bulk (0.697); compare (0.687); material (0.687); conventionally (0.686); alternative (0.665); low (0.664); composite (0.658); comparison (0.654); various (0.651); resin (0.650); fabricate (0.642); high (0.636); use (0.636); however (0.634)
