term,cosine_displacement_30k,cosine_displacement_50k,abs_diff
yttria,0.2510883363617109,0.2544690803509259,0.003380743989215007
monolithic_zirconia,0.1954947377586017,0.193141895758613,0.0023528419999886974
transmittance,0.1274905501770387,0.1265271857214441,0.0009633644555945842
translucency,0.1284107275204112,0.131023909434497,0.0026131819140857993
contrast,0.0838526554255999,0.0865818370514102,0.0027291816258103035
ratio,0.1161069936911739,0.1297205963404397,0.013613602649265796
fracture_toughness,0.1035338300969549,0.1072998605821863,0.0037660304852314003
partially,0.134409191133656,0.1509702593652302,0.016561068231574216
stabilized,0.30387670019349,0.2968863629660849,0.006990337227405108
fully,0.1449499707594111,0.1650820038052028,0.020132033045791697
cubic,0.1741505314646888,0.1767874831568598,0.0026369516921709857
tetragonal,0.1871583822584395,0.179404326783599,0.00775405547484051
strength,0.0877480015623271,0.0921007622835847,0.004352760721257606
monoclinic,0.1224804232035248,0.1258226658719003,0.003342242668375503
transformation,0.1366664245547229,0.1363933877222545,0.0002730368324683763
short,0.099538406383731,0.1074676125005407,0.007929206116809695
glass,0.0760760006672784,0.0793864608233358,0.0033104601560573904
composite,0.0856079970533322,0.0798940679258867,0.005713929127445505
reinforcement,0.1564916406582495,0.1608843828759355,0.004392742217686013
deflection,0.1597194238973655,0.163355558031609,0.0036361341342435183
crack_bridging,0.2294949865213351,0.2356022545979597,0.006107268076624595
toughening_mechanism,0.1636162863191508,0.1650030454327522,0.0013867591136014212
energy,0.1661491301067694,0.1705654425468569,0.0044163124400875
absorption,0.1074919523479037,0.1101793985362138,0.0026874461883100997
fracture,0.0892216521209622,0.091711673246306,0.0024900211253438
resistance,0.0976170530747904,0.1012430062782163,0.0036259532034258884
particulate,0.2701495239333774,0.2707912225615685,0.0006416986281911341
core,0.2007333734604784,0.2063184076563542,0.005585034195875804
build,0.1512706435973368,0.1549476589303534,0.0036770153330165922
resin,0.0841361271222264,0.0838772759848945,0.00025885113733190024
brittle_fracture,0.1952403013692842,0.2021159504499384,0.006875649080654217
crack_propagation,0.0994985375734774,0.1059078102943482,0.006409272720870801
everx,0.3554890846205489,0.3640288911572898,0.008539806536740913
photonic_crystal,0.2128745872672472,0.2041167156558962,0.008757871611350998
light_scattering,0.1108069941157772,0.1107461733316833,6.082078409390401e-05
optical,0.1059738355556785,0.1089629896368437,0.0029891540811651934
interference,0.1276444707583252,0.128203985338161,0.0005595145798358014
opal,0.4993321829010337,0.5010073165075597,0.0016751336065259914
diffraction,0.1065022434376049,0.1120629246200947,0.005560681182489813
nanostructure,0.1301163378306027,0.1281559785740395,0.00196035925656321
shade_matching,0.2621210705743543,0.267424942275998,0.005303871701643703
adaptation,0.2432449335502955,0.2463861830424826,0.0031412494921871092
color_matching,0.307123137509582,0.3169415212629051,0.009818383753323112
chameleon,0.3932454905192326,0.4009891071934848,0.007743616674252218
shade,0.1479236024443017,0.1466483671987416,0.0012752352455600857
opacity,0.1830560001075374,0.186494121918097,0.003438121810559608
refractive_index,0.1232834304076735,0.1285980491262691,0.005314618718595593
structural,0.1157380458980961,0.1176298890333158,0.0018918431352197007
color,0.106941776186213,0.1065981775230189,0.00034359866319411125
core_shell,0.1227360241761422,0.1215376145291233,0.0011984096470188943
filler,0.1300898325703954,0.1314325598062913,0.001342727235895902
pigment,0.1833925305688972,0.1843040384058641,0.0009115078369668905
conventional,0.1044083315042706,0.1064375140339567,0.002029182529686091
