term	material_system	period	rank	neighbor	similarity	status	mode
yttria	zirconia	pre2018				missing_query	common_vocab
yttria	zirconia	post2018				missing_query	common_vocab
monolithic_zirconia	zirconia	pre2018				missing_query	common_vocab
monolithic_zirconia	zirconia	post2018				missing_query	common_vocab
translucency	zirconia	pre2018				missing_query	common_vocab
translucency	zirconia	post2018				missing_query	common_vocab
opacity	structural_color_composite	pre2018				missing_query	common_vocab
opacity	structural_color_composite	post2018				missing_query	common_vocab
refractive_index	structural_color_composite	pre2018				missing_query	common_vocab
refractive_index	structural_color_composite	post2018				missing_query	common_vocab
composite	structural_color_composite	pre2018	1	fig	0.9996763467788696	compared	common_vocab
composite	structural_color_composite	pre2018	2	tensile	0.9996706247329712	compared	common_vocab
composite	structural_color_composite	pre2018	3	alloy	0.9996601343154907	compared	common_vocab
composite	structural_color_composite	pre2018	4	j	0.9996550679206848	compared	common_vocab
composite	structural_color_composite	pre2018	5	solution	0.9996486902236938	compared	common_vocab
composite	structural_color_composite	pre2018	6	study	0.9996436238288879	compared	common_vocab
composite	structural_color_composite	pre2018	7	show	0.9996426105499268	compared	common_vocab
composite	structural_color_composite	pre2018	8	material	0.9996402263641357	compared	common_vocab
composite	structural_color_composite	pre2018	9	phosphate	0.9996377825737	compared	common_vocab
composite	structural_color_composite	pre2018	10	h.	0.9996351003646851	compared	common_vocab
composite	structural_color_composite	pre2018	11	amount	0.9996348023414612	compared	common_vocab
composite	structural_color_composite	pre2018	12	test	0.9996312260627747	compared	common_vocab
composite	structural_color_composite	pre2018	13	stress	0.9996306896209717	compared	common_vocab
composite	structural_color_composite	pre2018	14	dental	0.9996271729469299	compared	common_vocab
composite	structural_color_composite	pre2018	15	without	0.9996217489242554	compared	common_vocab
composite	structural_color_composite	pre2018	16	force	0.9996192455291748	compared	common_vocab
composite	structural_color_composite	pre2018	17	screw	0.9996148943901062	compared	common_vocab
composite	structural_color_composite	pre2018	18	crack	0.9996138215065002	compared	common_vocab
composite	structural_color_composite	pre2018	19	cement	0.9996131658554077	compared	common_vocab
composite	structural_color_composite	pre2018	20	m.	0.9996130466461182	compared	common_vocab
composite	structural_color_composite	post2018	1	j	0.9999508857727051	compared	common_vocab
composite	structural_color_composite	post2018	2	dental	0.9999406933784485	compared	common_vocab
composite	structural_color_composite	post2018	3	b	0.9999394416809082	compared	common_vocab
composite	structural_color_composite	post2018	4	dent_mater	0.9999377727508545	compared	common_vocab
composite	structural_color_composite	post2018	5	group	0.9999366402626038	compared	common_vocab
composite	structural_color_composite	post2018	6	show	0.9999335408210754	compared	common_vocab
composite	structural_color_composite	post2018	7	cell	0.9999334812164307	compared	common_vocab
composite	structural_color_composite	post2018	8	resin	0.9999325275421143	compared	common_vocab
composite	structural_color_composite	post2018	9	mm	0.9999310970306396	compared	common_vocab
composite	structural_color_composite	post2018	10	tooth	0.9999298453330994	compared	common_vocab
composite	structural_color_composite	post2018	11	also	0.9999291896820068	compared	common_vocab
composite	structural_color_composite	post2018	12	use	0.9999285936355591	compared	common_vocab
composite	structural_color_composite	post2018	13	surface	0.9999284148216248	compared	common_vocab
composite	structural_color_composite	post2018	14	material	0.9999265074729919	compared	common_vocab
composite	structural_color_composite	post2018	15	test	0.9999263882637024	compared	common_vocab
composite	structural_color_composite	post2018	16	stress	0.9999257326126099	compared	common_vocab
composite	structural_color_composite	post2018	17	high	0.9999240636825562	compared	common_vocab
composite	structural_color_composite	post2018	18	dent	0.9999234676361084	compared	common_vocab
composite	structural_color_composite	post2018	19	increase	0.9999222755432129	compared	common_vocab
composite	structural_color_composite	post2018	20	result	0.9999216794967651	compared	common_vocab
brittle_fracture	short_fiber_composite	pre2018				missing_query	common_vocab
brittle_fracture	short_fiber_composite	post2018				missing_query	common_vocab
crack_propagation	short_fiber_composite	pre2018				missing_query	common_vocab
crack_propagation	short_fiber_composite	post2018				missing_query	common_vocab
everx	short_fiber_composite	pre2018				missing_query	common_vocab
everx	short_fiber_composite	post2018				missing_query	common_vocab
